KP8_APPSRV_Log_Warn              PeopleSoft Domain                       
KP8_APPSRV_Log_Crit              PeopleSoft Domain                       
KP8_Agent_Log_Crit               PeopleSoft Domain                       
KP8_PIAOUT_Crit                  PeopleSoft Internet Architecture        
KP8_PIAOFF_Warn                  PeopleSoft Internet Architecture        
KP8_PIAERR_Warn                  PeopleSoft Internet Architecture        
KP8_PIAWEB_Warn                  PeopleSoft Internet Architecture        
KP8_PIAACC_Warn                  PeopleSoft Internet Architecture        
KP8_PIAACC_Crit                  PeopleSoft Internet Architecture        
KP8_PIAWEB_Crit                  PeopleSoft Internet Architecture        
KP8_PIAERR_Crit                  PeopleSoft Internet Architecture        
KP8_PIAOUT_Warn                  PeopleSoft Internet Architecture        
KP8_Dist_Stat_Not_Posted_Warn    PeopleSoft Process Scheduler (embedded) 
KP8_TUXLOG_Crit                  PeopleSoft Process Scheduler (embedded) 
KP8_Run_Stat_Blocked_Warn        PeopleSoft Process Scheduler (embedded) 
KP8_SCHDLR_Log_Warn              PeopleSoft Process Scheduler (embedded) 
KP8_SCHDLR_Log_Minor             PeopleSoft Process Scheduler (embedded) 
KP8_Run_Stat_Queued_Warn         PeopleSoft Process Scheduler (embedded) 
KP8_Run_Stat_Error               PeopleSoft Process Scheduler (embedded) 
KP8_Run_Stat_Error_Crit          PeopleSoft Process Scheduler (embedded) 
KP8_Run_Stat_Error_Warn          PeopleSoft Process Scheduler (embedded) 
KP8_Run_Stat_Blocked_Crit        PeopleSoft Process Scheduler (embedded) 
KP8_Run_Stat_Initiated_Warn      PeopleSoft Process Scheduler (embedded) 
KP8_Run_Stat_Pending_Warn        PeopleSoft Process Scheduler (embedded) 
KP8_Dist_Stat_Not_Posted_Crit    PeopleSoft Process Scheduler (embedded) 
KP8_Run_Stat_No_Success_Warn     PeopleSoft Process Scheduler (embedded) 
KP8_SCHDLR_Log_Crit              PeopleSoft Process Scheduler (embedded) 
KP8_Run_Stat_Initiated_Crit      PeopleSoft Process Scheduler (embedded) 
KP8_TUXLOG_Warn                  PeopleSoft Process Scheduler (embedded) 
KP8_Run_Stat_No_Success          PeopleSoft Process Scheduler (embedded) 
KP8_Run_Stat_No_Success_Crit     PeopleSoft Process Scheduler (embedded) 
KP8_Run_Stat_Queued_Crit         PeopleSoft Process Scheduler (embedded) 
KP8_Run_Stat_Pending_Crit        PeopleSoft Process Scheduler (embedded) 
KP8_Batch_Process_Date_Warning   PeopleSoft Process Scheduler (embedded) 
KP9_Run_Stat_Pending_Crit        PeopleSoft Process Scheduler            
KP9_Run_Stat_Error_Crit          PeopleSoft Process Scheduler            
KP9_Process_Down_PSMONITORSRV    PeopleSoft Process Scheduler            
KP9_Run_Stat_Error               PeopleSoft Process Scheduler            
KP9_TUXLOG_Warn                  PeopleSoft Process Scheduler            
KP9_Run_Stat_Blocked_Crit        PeopleSoft Process Scheduler            
KP9_Run_Stat_Pending_Warn        PeopleSoft Process Scheduler            
KP9_Process_Down_PSDSTSRV        PeopleSoft Process Scheduler            
KP9_Run_Stat_Queued_Crit         PeopleSoft Process Scheduler            
KP9_Run_Stat_Queued_Warn         PeopleSoft Process Scheduler            
KP9_Run_Stat_Blocked_Warn        PeopleSoft Process Scheduler            
KP9_Agent_Log_Warn               PeopleSoft Process Scheduler            
KP9_Batch_Process_Date_Warning   PeopleSoft Process Scheduler            
KP9_Run_Stat_No_Success          PeopleSoft Process Scheduler            
KP9_Process_Down_PSMSTPRC        PeopleSoft Process Scheduler            
KP9_Process_Down_PSAESRV         PeopleSoft Process Scheduler            
KP9_Run_Stat_No_Success_Warn     PeopleSoft Process Scheduler            
KP9_Agent_Log_Crit               PeopleSoft Process Scheduler            
KP9_Run_Stat_Error_Warn          PeopleSoft Process Scheduler            
KP9_Dist_Stat_Not_Posted_Crit    PeopleSoft Process Scheduler            
KP9_SCHDLR_Log_Minor             PeopleSoft Process Scheduler            
KP9_TUXLOG_Crit                  PeopleSoft Process Scheduler            
KP9_Run_Stat_Initiated_Warn      PeopleSoft Process Scheduler            
KP9_Dist_Stat_Not_Posted_Warn    PeopleSoft Process Scheduler            
KP9_SCHDLR_Log_Crit              PeopleSoft Process Scheduler            
KP9_Run_Stat_Initiated_Crit      PeopleSoft Process Scheduler            
KP9_SCHDLR_Log_Warn              PeopleSoft Process Scheduler            
KP9_Run_Stat_No_Success_Crit     PeopleSoft Process Scheduler            
KP9_Scheduler_Started            PeopleSoft Process Scheduler            
KPH_CPU_Pool_High_Usage_Warn     HMC Base Servers                        
KPH_LPAR_Limited_By_Pool_Warn    HMC Base Servers                        
KPH_LPAR_High_CPU_Usage_Crit     HMC Base Servers                        
KPH_CPU_Pool_High_Usage_Crit     HMC Base Servers                        
KPH_Server_High_CPU_Util_Warn    HMC Base Servers                        
KPH_CPU_Pool_Borrowed_CPU_Warn   HMC Base Servers                        
KPH_LPAR_High_CPU_Usage_Warn     HMC Base Servers                        
KPH_Server_High_CPU_Util_Crit    HMC Base Servers                        
KQH_TN3270_Service_Stopped       Microsoft HIS                           
KQH_SNA_Connection_Inactive      Microsoft HIS                           
KQH_WIP_COM_Event_Occured        Microsoft HIS                           
KQH_LU62_Resync_Start_Warn       Microsoft HIS                           
KQH_TN3270_Trace_Failed_Warn     Microsoft HIS                           
KQH_Unexpected_Logic_Err_Crit    Microsoft HIS                           
KQH_HIP_Auth_Error_Event         Microsoft HIS                           
KQH_HIP_Listener_Event           Microsoft HIS                           
KQH_TN3270_Down_Crit             Microsoft HIS                           
KQH_TI_Exception_Warn            Microsoft HIS                           
KQH_Link_Service_Down            Microsoft HIS                           
KQH_Local_Param_Invalid_Warn     Microsoft HIS                           
KQH_TN5250_Down_Crit             Microsoft HIS                           
KQH_LU_RESYNCSVC_Down_Crit       Microsoft HIS                           
KQH_ESSO_Server_Down_Warn        Microsoft HIS                           
KQH_SNA_Connection_Failure       Microsoft HIS                           
KQH_SIS_Server_Down_Crit         Microsoft HIS                           
KQH_IHVDLL_LoadingFailed_Warn    Microsoft HIS                           
KQH_HIP_App_State_Event          Microsoft HIS                           
KQH_SNA_MNGAGENT_Down_Crit       Microsoft HIS                           
KQH_TCP_RESYNC_Down_Crit         Microsoft HIS                           
KQH_MQBridge_Down_Crit           Microsoft HIS                           
KQH_SNA_DDM_Down_Crit            Microsoft HIS                           
KQH_SNA_BASE_Down_Crit           Microsoft HIS                           
KQH_APPCSession_Failure_Crit     Microsoft HIS                           
KQH_SNA_Mng_Conn_Failed_Warn     Microsoft HIS                           
KQH_3270Session_Supp_Crit        Microsoft HIS                           
KQH_SNA_PRINT_Down_Warn          Microsoft HIS                           
KQH_Status_Failed_Warn           Microsoft HIS                           
KQH_APPC_TP_Failed_One_Warn      Microsoft HIS                           
KQH_Primary_HIS_Exist_Warn       Microsoft HIS                           
KQH_DLUS_PU_Conn_Failed_Warn     Microsoft HIS                           
KQH_SNA_NetView_Down_Warn        Microsoft HIS                           
KQH_SNA_Service_Inactive         Microsoft HIS                           
KQH_Many_Host_Req_Rejected       Microsoft HIS                           
KQH_Many_Host_Req_Queued         Microsoft HIS                           
KQH_SNABase_StartUp_Fail_Warn    Microsoft HIS                           
KQH_SNA_RPC_Down_Crit            Microsoft HIS                           
KQH_SNA_Server_Down_Crit         Microsoft HIS                           
KQH_WIP_State_Machine_Event      Microsoft HIS                           
KQH_APPC_Session_Act_Fail_Warn   Microsoft HIS                           
KQH_SNA_Service_OutOfDate        Microsoft HIS                           
KQH_SNA_Server04_Down_Crit       Microsoft HIS                           
KQH_SNA_Server03_Down_Crit       Microsoft HIS                           
KQH_SNA_Server02_Down_Crit       Microsoft HIS                           
KQH_SNA_Server_Unreachable       Microsoft HIS                           
KQL_ApplicationShare_SvcDown     Skype for Business Server               
KQL_TeleConference_SvcDown       Skype for Business Server               
KQL_AddBook_Init_Fail            Skype for Business Server               
KQL_UserSvc_MCUFactory_Failure   Skype for Business Server               
KQL_ConferenceAttndant_SvcDown   Skype for Business Server               
KQL_BWPolicyAuthn_SvcDown        Skype for Business Server               
KQL_QMS_Msg_Queue_Fail           Skype for Business Server               
KQL_Mediation_SvcDown            Skype for Business Server               
KQL_AudioTest_SvcDown            Skype for Business Server               
KQL_OCSResponseGroup_SvcDown     Skype for Business Server               
KQL_MonitoringAgent_SvcDown      Skype for Business Server               
KQL_Archiving_SvcDown            Skype for Business Server               
KQL_QoEMonitoring_SvcDown        Skype for Business Server               
KQL_Replicator_SvcDown           Skype for Business Server               
KQL_Edge_WebConference_SvcDown   Skype for Business Server               
KQL_ApplicationHost_SvcDown      Skype for Business Server               
KQL_CWA_ADConnection_Lost        Skype for Business Server               
KQL_ProStk_Configuration_Error   Skype for Business Server               
KQL_AddBook_DBAccess_Error       Skype for Business Server               
KQL_BWPolicyCore_SvcDown         Skype for Business Server               
KQL_DB_OutofSpace                Skype for Business Server               
KQL_FrontEnd_SvcDown             Skype for Business Server               
KQL_IMConference_SvcDown         Skype for Business Server               
KQL_MasterReplica_SvcDown        Skype for Business Server               
KQL_VoiceControl_SvcDown         Skype for Business Server               
KQL_AVEdge_SvcDown               Skype for Business Server               
KQL_AVMCU_TLS_Failed             Skype for Business Server               
KQL_ConferenceAnnounce_SvcDown   Skype for Business Server               
KQL_XMPPGateway_SvcDown          Skype for Business Server               
KQL_CallDetailRecord_SvcDown     Skype for Business Server               
KQL_FileTransfer_SvcDown         Skype for Business Server               
KQL_CentralizedLogging_SvcDown   Skype for Business Server               
KQL_AVConference_SvcDown         Skype for Business Server               
KQL_AVConference_Failure         Skype for Business Server               
KQL_CallPark_SvcDown             Skype for Business Server               
KQL_WebConference_SvcDown        Skype for Business Server               
KQL_MCUFactory_DBConnect_Fail    Skype for Business Server               
KQL_LyncResponseGroup_SvcDown    Skype for Business Server               
KQL_AVAuthentication_SvcDown     Skype for Business Server               
KQL_CWA_GlblCtlg_Connect_Lost    Skype for Business Server               
KQL_MCUFac_Cert_Error            Skype for Business Server               
KQL_WebConferenceCmpt_SvcDown    Skype for Business Server               
KS1_Avg_Meeting_Startup_Long     Lotus Sametime Community Server         
KS1_Few_Meeting_Connect_Remain   Lotus Sametime Community Server         
KS1_Large_Number_User_Logins     Lotus Sametime Community Server         
KS1_Server_Login_Long            Lotus Sametime Community Server         
KS1_Process_Not_Running          Lotus Sametime Community Server         
KS1_File_Transfer_Failures       Lotus Sametime Community Server         
KS1_Meeting_No_Participant       Lotus Sametime Community Server         
KS1_Login_Operation_Failures     Lotus Sametime Community Server         
KS1_Server_Not_Running_Crit      Lotus Sametime                          
KS1_Cluster_Down_Crit            Lotus Sametime                          
KSE_MySQL_Full_Table_Scans_High  MySQL                                   
KSE_MySQL_Process_Down           MySQL                                   
KSE_MySQL_Queries_Slow           MySQL                                   
KSE_MySQL_Cache_Miss_Rate_Warn   MySQL                                   
KSE_MySQL_Queries_Slow_Warn      MySQL                                   
KSE_MySQL_Connections_Used_Crit  MySQL                                   
KSE_MySQL_Table_Cache_Used_Warn  MySQL                                   
KSE_MySQL_Table_Cache_Used_Crit  MySQL                                   
KSE_MySQL_Cache_Miss_Rate_Crit   MySQL                                   
KSE_MySQL_Connections_Used_High  MySQL                                   
KSE_High_CPU_Warn                MySQL                                   
KSE_MySQL_Service_Down           MySQL                                   
KSE_High_CPU_Crit                MySQL                                   
KSE_Physical_Memory_High_Crit    MySQL                                   
KSE_Physical_Memory_High_Warn    MySQL                                   
KTU_Transport_Queue_Full         Transaction Collector                   
KV1_VM_Mem_Pct_High_Warn         Linux KVM Agent                         
KV1_VM_Mem_Pct_High_Crit         Linux KVM Agent                         
KV1_Host_Mem_Pct_High_Crit       Linux KVM Agent                         
KV1_Host_CPU_Pct_High_Crit       Linux KVM Agent                         
KV1_Host_CPU_Over_Commit_Crit    Linux KVM Agent                         
KV1_Host_CPU_Pct_High_Warn       Linux KVM Agent                         
KV1_Host_CPU_Over_Commit_Warn    Linux KVM Agent                         
KV1_VM_CPU_Pct_High_Warn         Linux KVM Agent                         
KV1_Host_Mem_Pct_High_Warn       Linux KVM Agent                         
KV1_VM_CPU_Pct_High_Crit         Linux KVM Agent                         
KV1_Host_CPU_Over_Commit_Info    Linux KVM Agent                         
KV6_Blade_Server_Health_Y        Cisco UCS                               
KV6_Server_Pool_Health_R         Cisco UCS                               
KV6_Chassis_Backplane_Erors_Br   Cisco UCS                               
KV6_Chassis_Bckplane_Erors_Dup   Cisco UCS                               
KV6_FI_Module_Health_R           Cisco UCS                               
KV6_Chassis_Backplane_Erors_Hw   Cisco UCS                               
KV6_FI_LAN_Port_Pauses_Trm       Cisco UCS                               
